LAT_DEG,LONG_DEG,As,Al,Cd,Cr,Cu,Fe,Ni,Pb,Zn
23.005,89.823,144,8,< 0.02,< 0.5,2,6920,2.9,0.43,NA
23.167,90.195,3.1,16,< 0.02,< 0.5,4,1170,2.6,0.7,22
22.7,90.369,3.4,15,< 0.02,< 0.5,4,156,< 0.4,0.69,16
22.355,90.345,10,28,< 0.02,< 0.5,3,112,< 0.4,0.79,53
23.51,90.217,401,12,0.03,< 0.5,2,4430,4.1,0.54,NA
23.769,90.364,7.5,6,< 0.02,1.6,9,96,5,0.53,14
22.1467,91.8231,1.2,21,0.03,0.6,2,33600,2.7,1.81,NA
22.1924,91.8562,4.2,15,< 0.02,0.5,5,211,1.7,0.65,NA
22.1467,91.8231,0.7,15,< 0.02,0.6,2,12400,1.4,0.41,47
23.4453,91.1722,3.7,12,< 0.02,< 0.5,17,1660,1.9,0.31,74
23.536,90.7104,444,14,< 0.02,< 0.5,2,10100,3.8,0.32,30
23.2499,91.115,107,12,< 0.02,0.7,1,2780,1.6,0.38,18
23.2484,90.8696,2.5,24,0.03,0.6,19,4020,3.1,2.2,52
23.2342,90.6673,234,16,0.03,0.5,4,7060,2.2,2.19,NA
22.8334,91.0955,100,12,< 0.02,< 0.5,1,665,1.7,1.2,12
23.0053,91.3866,111,18,< 0.02,0.5,2,490,1.1,0.46,13
22.7761,91.5656,275,39,< 0.02,1.1,3,1320,1.5,8.17,13
22.4735,91.7891,4.4,12,< 0.02,3.9,8,33,5.5,3.07,24
22.3704,91.8442,3.4,24,< 0.02,0.7,3,202,1.7,1.93,24
22.2234,91.898,2,11,< 0.02,< 0.5,1,365,1,0.39,12
22.0721,92.0479,4.6,15,< 0.02,0.8,2,527,< 0.4,0.41,18
21.4349,91.9656,2,13,< 0.02,< 0.5,3,128,2.7,0.64,12
21.2432,92.1325,1.2,13,< 0.02,2.1,2,307,1.8,0.44,11
22.4815,91.4285,0.9,NA,NA,NA,NA,139,NA,NA,NA
22.4815,91.4285,0.6,NA,NA,NA,NA,65,NA,NA,NA
22.4815,91.4285,1.1,NA,NA,NA,NA,47,NA,NA,NA
21.517,91.9584,8.7,NA,NA,NA,NA,88,NA,NA,NA
21.8128,91.8449,1.1,NA,NA,NA,NA,290,NA,NA,NA
22.4817,91.4332,1.1,NA,NA,NA,NA,89,NA,NA,NA
23.8659,91.201,11.3,NA,NA,NA,NA,249,NA,NA,NA
23.7627,90.9899,261,NA,NA,NA,NA,134,NA,NA,NA
24.1945,91.5138,3.4,NA,NA,NA,NA,161,NA,NA,NA
24.3776,91.4083,5.2,NA,NA,NA,NA,211,NA,NA,NA
24.4696,91.7603,2.3,NA,NA,NA,NA,197,NA,NA,NA
24.8795,91.8605,11.2,NA,NA,NA,NA,2260,NA,NA,NA
